Common Name,Primary Genre,Combined Genres,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
Poul Anderson,Fiction,Fiction,11/25/1946,7/31/2001,11/25/1926 - 7/31/2001,"<p>Prolific science fiction author Poul Anderson was born in Bristol, Pennsylvania, on November 25, 1926. He began his writing career with the story ""Tomorrow's Children"" in 1947 and continued writing at a tremendous pace, completing over 80 novels. Anderson received every major award the science fiction genre had to offer before his death in 2001.</p>","Bristol, PA",Bucks County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Anderson%2C+Poul%2C+1926-2001"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Anderson__Poul_William"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Anderson__Poul_William.jpg,40.101138,-74.851527,"Photo Credit: Centro Studi La Runa. Poul Anderson (Bristol, November 25, 1926 - Orinda, July 31, 2001). Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://i1.wp.com/www.centrostudilaruna.it/wp-content/uploads/poul-anderson.jpg?resize=300%2C225.",,"Bristol, PA | Bucks County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Anderson__Poul_William"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Anderson%2C+Poul%2C+1926-2001"" target=""_blank"">PSU Catalog Link</a>"
Laurie Halse Anderson,Young Adult (YA),Young Adult (YA) | Children's,10/23/1981,1/1/2050,Born: 10/23/1961,"<p>Laurie Halse Anderson was born on October 23, 1961, in Potsdam, New York. She earned her AA from Onondaga County Community College and BS in Languages and Linguistics from Georgetown University. Soon after, she started a family and a career with <em>The Philadelphia Inquirer </em>and as a freelance reporter with other periodicals. Anderson began publishing her own work in 1996, with her first picture book, <em>Ndito Runs</em>. She went on to publish more picture books, including <em>The Hair of Zoe Fleefenbacher Goes to School</em> (2009), and several works for children and young adult readers, including acclaimed books <em>Speak</em> (1999), <em>Fever 1793</em> (2000), and <em>Chains</em> (2008). Anderson has been recognized with multiple honors and awards, including a Scott O'Dell Award for Historical Fiction, an ALAN Award, and bestseller lists.</p>","Maple Glen, PA",Montgomery County,https://madwomanintheforest.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Anderson%2C+Laurie+Halse"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Anderson__Laurie_Halse"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Anderson__Laurie_Halse.jpg,40.179275,-75.180452,Photo Credit: ALA The American Library Association. Laurie Halse Anderson. 9 May 2006. Photograph. Licensed under CC BY-SA 2.0. Cropped to 4x3. Source: Flickr. Source: https://www.flickr.com/photos/ala_members/4626397129/in/photolist-nqD7sM-83PuFK-nqDd3z-nmQ93q-nmPZe3-jdmm68-jdp7B1-6bUKjR-noRiye-noSCAk-nqCChi-6bYV7Q-W3qB2x-noA7Ze-noSBeT-nqD8eX-nmQ4KN-6A292v-6bUNKr-nqD3kZ-21Ei1jd-6bYWeN-noAgzR-noAabj-nmPYaQ-noAjva-nqD3Ue-nmQ6ZN-nqD72g-noURKb-nmQ1Am-nmPYMS-NyvR93-GLvb5g-21H5Zqz-2e3Gy9k-N6GM7v-M8Ym7J-23rerXt-23res2B-9z2tTH.,,"Maple Glen, PA | Montgomery County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Anderson__Laurie_Halse"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Anderson%2C+Laurie+Halse"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://madwomanintheforest.com/"" target=""_blank"">Personal Website</a>"
Maxwell Anderson,Fiction,Fiction | Screenwriting / Playwriting,12/15/1908,2/28/1959,12/15/1888 - 2/28/1959,"<p>Maxwell Anderson was born in Atlantic, Pennsylvania, in 1888. After receiving his master's degree from Stanford, he worked as a columnist, English teacher, and a poet before publishing his first play in 1923. A notable historian and dramatist, Anderson won the Pulitzer Prize for <em>Both Your Houses </em>in 1933, as well as the New York Drama Critics Circle Award for <em>Winterset</em> in 1935. Together with fellow playwrights, Anderson founded the Playwrights' Producing Company, which produced many of his plays (including <em>Knickerbocker Holiday</em> [1938], <em>Joan of Lorrain</em> [1946], and <em>Bad Seed</em> [1954]) and earned him great success. Anderson died in Stamford, Connecticut in 1959.</p>","Atlantic, PA",Crawford County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Anderson%2C+Maxwell%2C+1888-1959"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Anderson__Maxwell"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Anderson__Maxwell.jpg,41.504776,-80.338955,"Photo Credit: Encyclopædia Britannica. Anderson, Maxwell. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://cdn.britannica.com/17/76217-050-B42BFF4C.jpg.",,"Atlantic, PA | Crawford County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Anderson__Maxwell"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Anderson%2C+Maxwell%2C+1888-1959"" target=""_blank"">PSU Catalog Link</a>"
T. S. Arthur,Fiction,Fiction | Screenwriting / Playwriting,06/06/1829,3/6/1885,6/6/1809 - 3/6/1885,"<p>T. S. Arthur was born on June 6, 1809, in Orange County, New York, and he was the son of William Arthur and Anna Shay. When Arthur was 13-years-old, he left school and decided to work in a mill. Later, he became editor of the <em>Baltimore Athenaeum and Young Men's Paper</em> and founded the <em>Baltimore Literary Monument</em>. In 1854, Arthur wrote the largest selling temperance book of the period titled <em>Ten Nights in a Bar-Room and What I Saw There</em>. Arthur died on March 6, 1885, in Philadelphia, Pennsylvania.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Arthur,+T.+S.+(Timothy+Shay),+1809-1885"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Arthur__Timothy_Shay"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Arthur__Timothy_Shay.jpg,39.948431,-75.201427,"Photo Credit: Image of a young Timothy Shay Arthur (1809-1885). Presumably before 1850. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Reprinted in The Literary History of Philadelphia by Ellis Paxson Oberholtzer (Philadelphia: George W. Jacobs & Co., 1906. ISBN 1932109455). Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/a/aa/Timothy_Shay_Arthur.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Arthur__Timothy_Shay"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Arthur,+T.+S.+(Timothy+Shay),+1809-1885"" target=""_blank"">PSU Catalog Link</a>"
Jen Ashburn,Poetry,Poetry,01/02/1992,1/1/2050,Born: 1/2/2019,"<p>Jen Ashburn earned her MFA in Poetry and Creative Nonfiction from Chatham University in Pittsburgh. Her poem ""Our Mother Drove Barefoot,"" from her first full-length poetry book: <em>A Light on the Wall</em> (2016), was selected for publication by the <a href=""https://pabook.libraries.psu.edu/awards-contests/public-poetry-project?field_award_year_value=2018"" target=""_blank"">Public Poetry Project of the Pennsylvania Center for the Book in 2018</a>. At the time of this writing, Ashburn teaches, writes, and works as a tech analyst in Pittsburgh.&nbsp;</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Ashburn%2C+Jen"" target=""_blank"">PSU Catalog Link</a>",,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Ashburn__Jen_0.jpg,40.430027,-79.88454,Photo Credit: Jason Irwin. Jen Ashburn. ca. 2017. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Jen Ashburn (2019). ,,"Pittsburgh, PA | Allegheny County","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Ashburn%2C+Jen"" target=""_blank"">PSU Catalog Link</a>"
Jonathan Auxier,Young Adult (YA),Young Adult (YA) | Children's,08/10/2001,1/1/2050,Born: 8/10/1981,"<p>Novelist Jonathan Auxier was raised in Canada and grew up with a passion for children's literature. He earned his MFA in dramatic writing from Carnegie Mellon University, later moving to Los Angeles, California, to work as a screenwriter. His debut book, <em>Peter Nimble and His Fantastic Eyes</em>, centers on Peter Nimble, a blind orphan who is the greatest thief who ever lived, and his adventures. At the time of this writing, Auxier resides with his family in Pittsburgh, Pennsylvania, and teaches children's literature at Chatham University.</p>","Pittsburgh, PA",Allegheny County,https://www.thescop.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Auxier%2C+Jonathan"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Auxier_Jonathan"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Auxier__Jonathan.jpg,40.442808,-79.943013,Photo Credit: Ontario Library Association. Jonathan Auxier wins the 2015 Silver Birch Fiction Award. 13 May 2015. Photograph. Licensed under CC BY 2.0. Cropped to 4x3. Source: Abrams Books. Source: Flickr. Source: https://www.flickr.com/photos/onlibraryassoc/17933222190/in/photolist-pNahgo-4h5Tgx-rfcqGd-tjGsb3-rUCs6y-a1UapK.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Auxier_Jonathan"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Auxier%2C+Jonathan"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.thescop.com/"" target=""_blank"">Personal Website</a>"
Katherine Ayres,Young Adult (YA),Young Adult (YA) | Children's,10/14/1967,1/1/2050,Born: 10/14/1947,"<p>Katherine Ayres is a young adult and children's book author whose work is sometimes set in Pennsylvania. Among her picture books,<em>Up, Down, and Around </em>(2007) was selected as the 2008 PA One Book. Ayres teaches writing at Chatham University in Pittsburgh.</p>","Pittsburgh, PA",Allegheny County,http://www.katherineayres.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Ayres%2C+Katherine"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Ayres__Katherine"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Ayres__Katherine.jpg,40.448219,-79.924264,"Photo Credit: Chatham University. Katerine Ayres MA; Lecturer, Coordinator of Children's Writing Program. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://my.chatham.edu/tools/facultyvitae/liveimages/10526.jpg.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Ayres__Katherine"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Ayres%2C+Katherine"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.katherineayres.com/"" target=""_blank"">Personal Website</a>"
John Bakeless,Journalism,Journalism,12/30/1914,8/8/1978,12/30/1894 - 8/8/1978,"<p>John Bakeless was born in Carlisle, Pennsylvania. During his academic career and the years following he wrote several books about war, espionage, expedition, traitors, heroes, and biographies on America's first explorers. Some of his most well-known works include <em>Lewis and Clark</em>, <em>Partners in Discovery</em> (1947), and <em>Daniel Boone</em>, <em>Master of the Wilderness</em> (1939). Many of his works are used in classrooms across the country. Bakeless also spent many years teaching at various colleges and universities, as well as serving in the United States Army. He died in 1978.</p>","Carlisle, PA",Cumberland County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bakeless,+John,+1894-1978"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bakeless__John_Edwin"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bakeless__John_Edwin.jpg,40.212642,-77.17855,Photo Credit: Bachrach. John Bakeless. ca. 1936. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. John Simon Guggenheim Memoral Foundation.Source: https://www.gf.org/wp-content/uploads/2014/07/John-Bakeless-Biography-1936-1945_250x250.jpg.,,"Carlisle, PA | Cumberland County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bakeless__John_Edwin"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bakeless,+John,+1894-1978"" target=""_blank"">PSU Catalog Link</a>"
Donald L. Barlett,Journalism,Journalism,07/17/1956,1/1/2050,Born: 7/17/1936,"<p>Pulitzer Prize-winning reporter Donald Barlett was born in DuBois in 1936. Educated at Pennsylvania State University and later in the U.S. Army, Barlett became a journalist and, after a string of jobs at smaller papers, moved to Philadelphia. At the <em>Inquirer</em> he was teamed with James B. Steele. The combination would win two Pulitzer Prizes for National Reporting. Barlett continues to reside in Philadelphia.</p>","DuBois, PA",Clearfield County,http://www.barlettandsteele.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Barlett%2C+Donald+L."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Barlett__Donald_Leon"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Barlett__Donald_Leon.jpg,41.119648,-78.759517,"Photo Credit: Photograph of Donald L. Barlett. Photograph. Licensed under Fair Use. Cropped to 4x3, Removed James B. Steele from photo. Source: Online Resource. Source: http://www.barlettandsteele.com/images/bs_portrait.jpg.",,"DuBois, PA | Clearfield County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Barlett__Donald_Leon"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Barlett%2C+Donald+L."" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.barlettandsteele.com/"" target=""_blank"">Personal Website</a>"
Margaret Ayer Barnes,Fiction,Fiction | Screenwriting / Playwriting,04/08/1906,10/26/1967,4/8/1886 - 10/26/1967,"<p>Born in Chicago, Illinois, in 1886, Margaret Ayer Barnes studied literature and philosophy at Bryn Mawr College in Pennsylvania, where later she became the vice president of the Alumnae Association. She married Cecil Barnes and had three sons. After enduring a terrible car accident while vacationing in France, Margaret started writing, encouraged by her childhood friend, Edward Sheldon. Barnes is remembered as a writer of novels, short stories, and plays. She is well-known for her Pulitzer Prize winning novel <em>Years of Grace, </em>published in 1930. Margaret Ayer Barnes died in 1967 in Cambridge, Massachusetts.</p>","Bryn Mawr, PA",Montgomery County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Barnes%2C+Margaret+Ayer%2C+1886-1967"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Barnes__Margaret_Ayer"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Barnes__Margaret_Ayer_0.jpg,40.02472,-75.318912,Photo Credit: Photograph of Margaret Ayer Barnes. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://www.alex.se/images/writer/2433/2433_20161228163402.jpg.,,"Bryn Mawr, PA | Montgomery County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Barnes__Margaret_Ayer"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Barnes%2C+Margaret+Ayer%2C+1886-1967"" target=""_blank"">PSU Catalog Link</a>"
Susan Campbell Bartoletti,Young Adult (YA),Young Adult (YA) | Nonfiction,11/18/1978,1/1/2050,Born: 11/18/1958,"<p>Susan Campbell Bartoletti was born in Harrisburg, Pennsylvania, in 1958 and grew up in rural Pennsylvania, a place she has used as a setting in her young adult novels and nonfiction books. A student, author, and teacher, Bartoletti uses historical elements as the backbone of many of her works, and she has won many awards for her ability to combine historical facts with her unique writing style.</p>","Moscow, PA",Lackawanna County,http://www.scbartoletti.com,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bartoletti%2C+Susan+Campbell"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bartoletti__Susan_Campbell"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bartoletti__Susan_Campbell.jpg,41.340916,-75.534631,Photo Credit: Susan Campbell Bartoletti; Writing for Children & Young Adults. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://spalding.edu/wp-content/uploads/2016/06/Bartolleti-150x1509.jpg.,,"Moscow, PA | Lackawanna County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bartoletti__Susan_Campbell"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bartoletti%2C+Susan+Campbell"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.scbartoletti.com"" target=""_blank"">Personal Website</a>"
Barbara S. Bates,Children's,Children's,04/28/1939,11/3/2002,4/28/1919 - 11/3/2002,"<p>Barbara S. Bates was born in Philadelphia, Pennsylvania, on April 28, 1919. She has worked as an editor and instructor for creative writing courses, as well as written a number of children's books over the last 50 years. She passed away at age 83 in Jenkintown, Pennsylvania.</p>","Jenkintown, PA",Montgomery County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bates%2C+Barbara+S."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bates__Barbara_Snedeker"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bates__Barbara_Snedeker.jpg,40.095856,-75.125707,"Photo Credit: Alumni Association of Cheltnham High School. Barbara Snedeker Bates, '36. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: http://www.chsalums.org/000/7/5/5/35557/userfiles/image/Barbara%20Snedeker%20Bates.jpg.",,"Jenkintown, PA | Montgomery County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bates__Barbara_Snedeker"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bates%2C+Barbara+S."" target=""_blank"">PSU Catalog Link</a>"
Joseph Bathanti,Poetry,Poetry | Fiction,07/20/1973,1/1/2050,Born: 7/20/1953,"<p>Joseph Bathanti grew up in the East Liberty neighborhood of Pittsburgh during the 1950s and 1960s. After graduating college, he joined Volunteers in Service to America (VISTA), a branch of the domestic Peace Corps, and moved to North Carolina to mentor prisoners. His experiences growing up in a working class Italian neighborhood and mentoring in a prison influence much of his work. Bathanti is the author of short fiction, nonfiction, two novels, and several poetry books. In 2012, he was named the Poet Laureate of North Carolina. He continues to write and to teach as a Professor of Creative writing at Appalachian State University. New books by Joseph Bathanti are forthcoming, including a collection of essays.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bathanti%2C+Joseph"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bathanti__Joseph"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bathanti__Joseph.jpg,40.464348,-79.926266,Photo Credit: david silver. joseph bathanti. 27 Sep 2014. Photograph. Licensed under CC BY-NC-SA 2.0. Cropped to 4x3. Source: Flickr. Source: https://www.flickr.com/photos/davidsilver/15383504031/in/photolist-protN8-hATx6u-hAU7V1-hATFkf-hAU9NQ-hATbK8-hATH95-hAU3aE-hATduv-hATazc/.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bathanti__Joseph"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bathanti%2C+Joseph"" target=""_blank"">PSU Catalog Link</a>"
Erinn Batykefer,Poetry,Poetry,01/25/2002,1/1/2050,Born: 1/25/1982,"<p>Born in 1982 and raised in Pittsburgh, Pennsylvania, Erinn Batykefer earned degrees from both the University of Delaware and the University of Wisconsin - Madison. Batykefer's book of poems, <em>Allegheny, Monongahela</em>, was chosen by Red Hen Press as the Benjamin Saltman First Book Prize winner. She was a Stadler Poetry Fellow at Bucknell University from 2007-2009 and has since earned an MLIS from the University of Wisconsin - Madison, where she is working as a Communications Specialists/Librarian and serves as the Managing Editor and Co-founder of the Libraray as an Incubator Project.</p><p></p>","Baden, PA",Beaver County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Batykefer%2C+Erinn"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Batykefer__Erinn"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Batykefer__Erinn.jpg,40.662402,-80.15332,Photo Credit: Cynthia Marie Hoffman. Photograph of Erinn Batykefer. 19 Jul 2012. Photograph. Licensed under CC BY-SA 2.0. Cropped to 4x3. Source: Online Resource. Source: http://erinn-batykefer.squarespace.com/.,,"Baden, PA | Beaver County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Batykefer__Erinn"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Batykefer%2C+Erinn"" target=""_blank"">PSU Catalog Link</a>"
Jan Beatty,Poetry,Poetry | Nonfiction,11/27/1972,1/1/2050,Born: 11/27/1952,"<p>Poet and author Jan Beatty was born and raised in Pittsburgh. She credits the city’s industrial landscape and her father’s storytelling as the primary influences on her writing. Beatty has penned several poetry collections and chapbooks, as well as the memoir <em>American Bastard</em>. In addition to her writing career, she has taught in Carnegie Mellon University’s creative writing program and Carlow University’s MFA program. She has led the Madwomen in the Attic Writing Workshop since 2004 and served as the host of WYEP’s literary radio program, ""Prosody."" </p>","Pittsburgh, PA",Allegheny County,http://janbeatty.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Beatty%2C+Jan%2C+1952-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Beatty__Jan"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Beatty__Jan.jpg,40.439483,-79.963914,Photo Credit: Slowking4. reading at Split This Rock 2016. 16 Apr 2016. Photograph. Licensed under CC BY-NC 3.0. Cropped to 4x3. Source: Wikimedia Commons. Washington D.C..Source: https://commons.wikimedia.org/wiki/File:Jan_beatty_4162623.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Beatty__Jan"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Beatty%2C+Jan%2C+1952-"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://janbeatty.com/"" target=""_blank"">Personal Website</a>"
Alison Bechdel,Graphic/Comic,Graphic/Comic,09/10/1980,1/1/2050,Born: 9/10/1960,"<p>Alison Bechdel was born September 10, 1960, in Lock Haven, Pennsylvania. She grew up in Beech Creek, Pennsylvania, and attended high school where both of her parents taught English literature. After college, she began cartooning the lesbian-centered comic strips<em> Dykes to Watch Out For</em>. They were later compiled into a series of books with a quarter of a million copies in print. She also wrote and drew <em>Fun Home: A Family Tragicomic</em> (2006), a graphic memoir that encompasses her coming out story along with chronicling the perplexing relationship she had her father in response to his mysterious life. In 2012, Bechdel published another graphic memoir exploring the relationship she had with her other parent titled, <em>Are You My Mother? A Comic Drama </em>(2012). She has drawn comics for <em>Slate</em>, <em>McSweeney's</em>, <em>Entertainment Weekly</em>, <em>The New York Times Book Review</em>, and <em>Granta</em>. Her work is widely translated and anthologized.</p>","Beech Creek, PA",Clinton County,https://dykestowatchoutfor.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bechdel%2C+Alison%2C+1960-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bechdel__Alison"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bechdel__Alison.jpg,41.07513,-77.585541,Photo Credit: Michael Rhode. English: Alison Bechdel at Politics and Prose bookstore. 4 May 2012. Photograph. Licensed under CC BY-SA 2.0. Cropped to 4x3. Source: Wikimedia Commons. Washington D.C..Source: https://commons.wikimedia.org/wiki/File:Alison_Bechdel_at_Politics_and_Prose.jpg.,,"Beech Creek, PA | Clinton County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bechdel__Alison"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bechdel%2C+Alison%2C+1960-"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://dykestowatchoutfor.com/"" target=""_blank"">Personal Website</a>"
